partition,mechanism,session_id,timestamp,expired_instrument_key,expiry_id,option_type,strike,entry_price_next_open,gross_return_pct,net_return_pct,stress_return_pct,forward_mfe_points,forward_mae_points,forward_expansion_pct,label_horizon_minutes,is_expansion_event,move_cluster_id,prior_5m_return_pct,previous_return,return_acceleration,breadth_positive,breadth_delta,breadth_acceleration,breadth_volume,option_asymmetry,directional_mass_shift,prior_5m_volume_ratio,days_to_expiry,minute_of_day
development,surface_mass_migration,2025-05-15,2025-05-15 04:20:00+00:00,NSE_FO|46248|15-05-2025,2025-05-15,CE,24050.0,467.75,5.034740780331376,4.934740780331376,4.034740780331376,43.14999999999998,0.0,9.225013361838585,5,True,NSE_FO|46248|15-05-2025:3499,8.114942528735636,-0.33493824576092956,8.449880774496565,0.8,0.6,0.8,0.6,33.64685742235266,89.28346920872718,1.5675675675675675,0,590
development,surface_mass_migration,2025-05-16,2025-05-16 04:10:00+00:00,NSE_FO|49237|22-05-2025,2025-05-22,PE,24950.0,172.8,-12.876157407407407,-12.976157407407406,-13.876157407407407,1.1999999999999886,38.25,0.6944444444444378,5,False,,15.687561535937,0.08843967150977683,15.599121864427223,0.625,0.0,0.625,0.625,24.708838131681677,21.730752834329905,1.6946138211382114,6,580
development,surface_mass_migration,2025-05-19,2025-05-19 04:01:00+00:00,NSE_FO|49258|22-05-2025,2025-05-22,CE,25100.0,147.0,-12.925170068027212,-13.025170068027212,-13.925170068027212,0.0,22.049999999999997,0.0,5,False,,7.908351810790837,-0.8960573476702538,8.804409158461091,1.0,0.8,1.0,1.0,16.26260882973629,103.61234052555665,2.230163111668758,3,571
development,surface_mass_migration,2025-05-20,2025-05-20 04:00:00+00:00,NSE_FO|49263|22-05-2025,2025-05-22,PE,25150.0,276.14,-2.060548996885637,-2.160548996885637,-3.060548996885637,6.0,20.839999999999975,2.172810893025277,5,False,,5.816640986132504,6.083349792613069,-0.2667088064805645,0.75,0.125,0.5,1.0,19.497668952874758,470.9748111317458,1.6676923076923076,2,570
development,surface_mass_migration,2025-05-21,2025-05-21 04:02:00+00:00,NSE_FO|49255|22-05-2025,2025-05-22,CE,25050.0,32.0,22.343749999999996,22.243749999999995,21.343749999999996,9.399999999999999,0.1999999999999993,29.374999999999996,5,False,,28.645418326693207,6.9632495164409836,21.68216881025222,1.0,0.0,0.8333333,0.8333333,37.670225854494745,29.682132446512696,1.8095550453700666,1,572
development,surface_mass_migration,2025-05-22,2025-05-22 04:56:00+00:00,NSE_FO|49237|22-05-2025,2025-05-22,PE,24950.0,376.5,1.912350597609559,1.8123505976095589,0.9123505976095589,22.94999999999999,1.3000000000000114,6.095617529880475,5,False,,6.179458239277658,4.479889042995833,1.699569196281825,0.75,0.25,0.5,0.625,32.08307269710898,1634.6353551348766,1.2087912087912087,0,626
development,surface_mass_migration,2025-05-23,2025-05-23 04:46:00+00:00,NSE_FO|61724|29-05-2025,2025-05-29,PE,24750.0,168.85,2.6650873556411017,2.5650873556411016,1.6650873556411017,9.950000000000017,3.0,5.892804264139779,5,False,,5.119453924914685,4.813034521505721,0.306419403408964,0.75,0.125,0.5,0.875,10.265031657930624,321.12730584524616,2.337506612590372,6,616
development,surface_mass_migration,2025-05-26,2025-05-26 04:06:00+00:00,NSE_FO|61691|29-05-2025,2025-05-29,CE,24700.0,458.3,-1.811040802967491,-1.911040802967491,-2.811040802967491,5.300000000000011,10.699999999999989,1.156447741653941,5,False,,0.8579914200858019,-0.6229860365198681,1.48097745660567,0.8,0.4,0.4,0.6,4.393278580027971,48.05800550009735,1.059985885673959,3,576
development,surface_mass_migration,2025-05-27,2025-05-27 04:02:00+00:00,NSE_FO|61691|29-05-2025,2025-05-29,CE,24700.0,300.45,-1.0650690630720547,-1.1650690630720548,-2.0650690630720545,6.300000000000011,19.849999999999966,2.096854717923119,5,False,,9.038217714182206,-0.1960098004900268,9.234227514672233,1.0,0.19999999,1.0,0.8,20.795901987533448,70.2601865264005,2.212191103789127,2,572
development,surface_mass_migration,2025-05-28,2025-05-28 04:22:00+00:00,NSE_FO|61692|29-05-2025,2025-05-29,PE,24700.0,124.5,-3.1726907630522114,-3.2726907630522115,-4.172690763052211,0.5,14.599999999999994,0.4016064257028112,5,False,,11.336568151742398,9.272727272727277,2.063840879015121,0.875,0.25,0.875,0.625,19.209685449779823,962.7936823945456,1.3379275140377744,1,592
