strategy,exit_horizon_min,cost_bps,trade_count,win_rate,avg_gross_bps,avg_net_bps,total_net_points,expectancy,max_drawdown_proxy,profit_factor_proxy,median_return_bps,p25_return_bps,p75_return_bps,long_count,short_count,instrument_breakdown,time_of_day_breakdown,spam_flags
ensemble.orb_breakout_signal,10,0.0,264,0.469697,0.937755,0.937755,1146.01,4.340947,-1217.25,1.306025,-0.598963,-4.651648,6.971808,0,264,"{""BANKNIFTY"": 77, ""NIFTY"": 100, ""SENSEX"": 87}","{""late_1400_close"": 76, ""mid_morning_1000_1159"": 3, ""midday_1200_1359"": 185}",SIGNAL_SPAM_RISK:REPEATED_SAME_DIRECTION_WITHOUT_COOLDOWN
core.mean_reversion_candidate_generator.build_mean_reversion_candidate_intents,10,0.0,86,0.674419,2.155852,2.155852,1116.82,12.986279,-392.65,2.568193,2.853415,-0.99608,5.933103,86,0,"{""BANKNIFTY"": 35, ""NIFTY"": 26, ""SENSEX"": 25}","{""midday_1200_1359"": 86}",SIGNAL_SPAM_RISK:REPEATED_SAME_DIRECTION_WITHOUT_COOLDOWN
core.breakout_candidate_generator.build_breakout_candidate_intents,10,0.0,205,0.478049,0.519865,0.519865,496.58,2.422341,-1000.9,1.164626,-0.558183,-5.073598,6.151921,0,205,"{""BANKNIFTY"": 59, ""NIFTY"": 83, ""SENSEX"": 63}","{""late_1400_close"": 52, ""midday_1200_1359"": 153}",SIGNAL_SPAM_RISK:REPEATED_SAME_DIRECTION_WITHOUT_COOLDOWN
ensemble.micro_pattern_signal,10,0.0,225,0.515556,-0.655557,-0.655557,-891.25,-3.961111,-1116.75,0.853441,0.216572,-7.030662,5.247256,107,118,"{""BANKNIFTY"": 101, ""NIFTY"": 22, ""SENSEX"": 102}","{""late_1400_close"": 46, ""mid_morning_1000_1159"": 77, ""midday_1200_1359"": 92, ""open_0915_0959"": 10}",SIGNAL_SPAM_RISK:MORE_THAN_100_TRADES_PER_DAY_PER_INSTRUMENT|SIGNAL_SPAM_RISK:REPEATED_SAME_DIRECTION_WITHOUT_COOLDOWN
pro.TimeWindowStrategy,10,0.0,183,0.355191,-1.56853,-1.56853,-1456.88,-7.961093,-1448.73,0.603568,-1.690846,-6.541091,1.447764,82,101,"{""BANKNIFTY"": 61, ""NIFTY"": 61, ""SENSEX"": 61}","{""late_1400_close"": 135, ""mid_morning_1000_1159"": 3, ""open_0915_0959"": 45}",SIGNAL_SPAM_RISK:REPEATED_SAME_DIRECTION_WITHOUT_COOLDOWN
ensemble.event_breakout_signal,10,0.0,943,0.467656,-0.580573,-0.580573,-2871.24,-3.044793,-3098.15,0.851738,-0.647726,-5.923539,5.071532,419,524,"{""BANKNIFTY"": 314, ""NIFTY"": 315, ""SENSEX"": 314}","{""late_1400_close"": 179, ""mid_morning_1000_1159"": 359, ""midday_1200_1359"": 360, ""open_0915_0959"": 45}",SIGNAL_SPAM_RISK:MORE_THAN_100_TRADES_PER_DAY_PER_INSTRUMENT|SIGNAL_SPAM_RISK:MORE_THAN_50_PERCENT_CANDLES|SIGNAL_SPAM_RISK:REPEATED_SAME_DIRECTION_WITHOUT_COOLDOWN
core.vwap_candidate_generator.build_vwap_candidate_intents,15,0.0,605,0.532231,1.515083,1.515083,4345.92,7.183339,-3450.53,1.428272,0.499419,-4.843009,7.719076,44,561,"{""BANKNIFTY"": 183, ""NIFTY"": 206, ""SENSEX"": 216}","{""late_1400_close"": 134, ""mid_morning_1000_1159"": 111, ""midday_1200_1359"": 360}",SIGNAL_SPAM_RISK:MORE_THAN_100_TRADES_PER_DAY_PER_INSTRUMENT|SIGNAL_SPAM_RISK:MORE_THAN_50_PERCENT_CANDLES|SIGNAL_SPAM_RISK:REPEATED_SAME_DIRECTION_WITHOUT_COOLDOWN
ensemble.trend_vwap_signal,15,0.0,605,0.532231,1.515083,1.515083,4345.92,7.183339,-3450.53,1.428272,0.499419,-4.843009,7.719076,44,561,"{""BANKNIFTY"": 183, ""NIFTY"": 206, ""SENSEX"": 216}","{""late_1400_close"": 134, ""mid_morning_1000_1159"": 111, ""midday_1200_1359"": 360}",SIGNAL_SPAM_RISK:MORE_THAN_100_TRADES_PER_DAY_PER_INSTRUMENT|SIGNAL_SPAM_RISK:MORE_THAN_50_PERCENT_CANDLES|SIGNAL_SPAM_RISK:REPEATED_SAME_DIRECTION_WITHOUT_COOLDOWN
ensemble.ensemble_signal,15,0.0,635,0.537008,1.414393,1.414393,4214.53,6.637055,-3152.9,1.349523,0.647072,-4.838108,7.843536,68,567,"{""BANKNIFTY"": 211, ""NIFTY"": 197, ""SENSEX"": 227}","{""late_1400_close"": 143, ""mid_morning_1000_1159"": 123, ""midday_1200_1359"": 359, ""open_0915_0959"": 10}",SIGNAL_SPAM_RISK:MORE_THAN_100_TRADES_PER_DAY_PER_INSTRUMENT|SIGNAL_SPAM_RISK:MORE_THAN_50_PERCENT_CANDLES|SIGNAL_SPAM_RISK:REPEATED_SAME_DIRECTION_WITHOUT_COOLDOWN
banknifty_intraday.generate_signal,15,0.0,530,0.524528,1.618126,1.618126,4126.17,7.785226,-2899.65,1.512285,0.375542,-4.641379,7.267094,16,514,"{""BANKNIFTY"": 154, ""NIFTY"": 190, ""SENSEX"": 186}","{""late_1400_close"": 120, ""mid_morning_1000_1159"": 54, ""midday_1200_1359"": 356}",SIGNAL_SPAM_RISK:MORE_THAN_100_TRADES_PER_DAY_PER_INSTRUMENT|SIGNAL_SPAM_RISK:MORE_THAN_50_PERCENT_CANDLES|SIGNAL_SPAM_RISK:REPEATED_SAME_DIRECTION_WITHOUT_COOLDOWN
