candidate_id,trade_count,gross_pnl,net_pnl,charges,slippage_sensitivity,win_rate,average_win,average_loss,net_expectancy,profit_factor,max_drawdown,recovery_factor,mfe_mean,mae_mean,target_count,timeout_count,month_breakdown,top5_trade_contribution,top10_trade_contribution
SEDV3_01b2f82b2b69,160,1348.7000000000116,1108.7000000000116,240.0,"{'cost_points_per_trade': 1.5, 'net_at_2x_cost': 868.7000000000116}",0.525,84.40178571428554,-78.69802631578914,6.929375000000073,1.185368789760998,-2945.699999999968,0.3763791288997602,102.65812499999988,84.8037499999999,95,65,"{'2024-07': -2749.549999999981, '2024-08': 3858.2499999999927}",1.2304049788039866,2.2264363669161757
SEDV3_3f58e94495bd,396,3336.3499999999985,2742.3499999999985,594.0,"{'cost_points_per_trade': 1.5, 'net_at_2x_cost': 2148.3499999999985}",0.5151515151515151,41.20049019607855,-29.492447916666794,6.925126262626259,1.4842959444066695,-1088.3499999999913,2.519731703955548,44.13838383838378,30.031944444444477,198,198,"{'2024-05': 297.49999999999636, '2024-06': 1248.1500000000015, '2024-07': 154.54999999999927, '2024-08': 1042.1500000000015}",0.5959669626415312,0.8877422648458471
SEDV3_403b20f5a528,154,1281.4999999999964,1050.4999999999964,231.0,"{'cost_points_per_trade': 1.5, 'net_at_2x_cost': 819.4999999999964}",0.5454545454545454,54.01845238095242,-49.81500000000009,6.821428571428548,1.301257509929595,-1786.0000000000073,0.5881858902575544,44.83928571428588,39.5246753246752,73,81,"{'2024-05': -85.65000000000146, '2024-06': 606.4500000000153, '2024-07': -78.75000000001091, '2024-08': 608.4499999999935}",1.0008091385054791,1.7382674916706453
SEDV3_79475d997fec,147,1031.1499999999942,810.6499999999942,220.5,"{'cost_points_per_trade': 1.5, 'net_at_2x_cost': 590.1499999999942}",0.5374149659863946,52.36962025316452,-48.919852941176515,5.514625850340097,1.243690911003891,-2217.8000000000065,0.36551988457029116,45.85816326530628,37.38061224489787,79,68,"{'2024-06': 928.3000000000065, '2024-07': -581.6500000000051, '2024-08': 463.9999999999927}",1.2969222229075554,2.2525750940603464
SEDV3_f124fafcbf1b,294,1804.7499999999782,1363.7499999999782,441.0,"{'cost_points_per_trade': 1.5, 'net_at_2x_cost': 922.7499999999782}",0.5272108843537415,41.35419354838701,-36.30323741007201,4.638605442176797,1.270255541353304,-2684.100000000013,0.5080846466226935,36.22959183673483,31.70119047619047,141,153,"{'2024-05': -85.65000000000146, '2024-06': 1178.4000000000196, '2024-07': -451.1000000000131, '2024-08': 722.0999999999731}",0.7709257561869983,1.338991750687469
SEDV3_82161e8f353f,109,632.0999999999985,468.59999999999854,163.5,"{'cost_points_per_trade': 1.5, 'net_at_2x_cost': 305.09999999999854}",0.47706422018348627,35.87019230769238,-24.502631578947458,4.299082568807326,1.3355171302760154,-433.0000000000073,1.0822170900692625,35.39082568807345,31.324311926605358,56,53,"{'2024-05': 8.599999999998545, '2024-06': 732.8500000000022, '2024-07': -293.00000000000364, '2024-08': 20.150000000001455}",1.2195902688860552,2.040012804097319
SEDV3_6547a0db0e28,218,1020.1499999999978,693.1499999999978,327.0,"{'cost_points_per_trade': 1.5, 'net_at_2x_cost': 366.1499999999978}",0.5229357798165137,44.978947368421075,-42.638942307692346,3.1795871559632927,1.1563102526807152,-1364.6499999999978,0.5079324368885787,43.766743119265875,45.419266055045846,115,103,"{'2024-05': -98.40000000000146, '2024-06': 811.75, '2024-07': 4.900000000005093, '2024-08': -25.10000000000582}",2.0326769097598,2.8194474500469004
SEDV3_e89abf6a9472,240,1072.8000000000102,712.8000000000102,360.0,"{'cost_points_per_trade': 1.5, 'net_at_2x_cost': 352.8000000000102}",0.425,66.17303921568626,-43.74528985507237,2.9700000000000424,1.118074823790555,-2486.69999999999,0.28664495114007044,53.628750000000124,42.6052083333333,105,135,"{'2024-05': 360.9999999999927, '2024-06': -309.20000000000437, '2024-07': -309.349999999984, '2024-08': 970.3500000000058}",2.771885521885481,3.955106621773233
SEDV3_37359995325f,480,1751.149999999965,1031.149999999965,720.0,"{'cost_points_per_trade': 1.5, 'net_at_2x_cost': 311.1499999999651}",0.5458333333333333,37.53606870229005,-40.38211009174325,2.148229166666594,1.1171322117842128,-1896.1000000000531,0.5438268023838069,37.91624999999996,39.28437499999998,235,245,"{'2024-05': -792.5499999999956, '2024-06': 2727.3000000000175, '2024-07': 388.1999999999789, '2024-08': -1291.8000000000357}",0.972263977112968,1.57149784221506
SEDV3_f51c21952010,160,533.400000000016,293.400000000016,240.0,"{'cost_points_per_trade': 1.5, 'net_at_2x_cost': 53.40000000001601}",0.49375,95.41962025316477,-89.44135802469135,1.8337500000001001,1.0404982918665262,-1465.3500000000276,0.20022520217013715,100.27906249999987,97.2759375000001,79,81,"{'2024-07': -129.14999999996508, '2024-08': 422.5499999999811}",5.025391956373243,9.093899113837223
SEDV3_e054e5877d59,138,404.74999999989814,197.74999999989814,207.0,"{'cost_points_per_trade': 1.5, 'net_at_2x_cost': -9.250000000101863}",0.5072463768115942,103.95499999999925,-104.10441176470661,1.4329710144920156,1.0279343419361073,-1101.9000000000087,0.1794627461656199,114.9583333333328,102.55434782608738,72,66,"{'2024-07': 239.89999999992142, '2024-08': -42.15000000002328}",7.311504424782483,13.3871049304746
SEDV3_c06e6b330a3d,320,931.8500000000276,451.85000000002765,480.0,"{'cost_points_per_trade': 1.5, 'net_at_2x_cost': -28.14999999997235}",0.503125,96.86614906832301,-95.24276729559733,1.4120312500000864,1.0298376872077992,-3158.0499999999884,0.14307879862574352,105.64843749999993,95.29953125000004,171,149,"{'2024-07': -2681.7499999999636, '2024-08': 3133.5999999999913}",3.4508133230051787,6.300320902954093
SEDV3_0e76314586ad,144,416.6499999999578,200.6499999999578,216.0,"{'cost_points_per_trade': 1.5, 'net_at_2x_cost': -15.3500000000422}",0.5138888888888888,91.39324324324312,-93.74928571428619,1.3934027777774847,1.0305754710512014,-1455.7500000000073,0.1378327322685604,107.27430555555586,92.7274305555556,74,70,"{'2024-07': 600.7499999999636, '2024-08': -400.1000000000058}",7.458011462747593,13.567904310992109
SEDV3_86d8f2db4a20,208,494.3999999999796,182.39999999997963,312.0,"{'cost_points_per_trade': 1.5, 'net_at_2x_cost': -129.60000000002037}",0.5048076923076923,37.78428571428556,-36.74708737864082,0.876923076922979,1.0481908611738542,-507.3000000000029,0.3595505617977106,37.645913461538335,34.37836538461555,98,110,"{'2024-05': -207.45000000000073, '2024-06': 127.34999999999127, '2024-07': 382.7000000000007, '2024-08': -120.20000000001164}",4.960252192983011,7.658442982456964
SEDV3_0623568b1adf,413,677.5499999999411,58.049999999941065,619.5,"{'cost_points_per_trade': 1.5, 'net_at_2x_cost': -561.4500000000589}",0.5084745762711864,28.954285714285515,-29.66674876847299,0.14055690072624955,1.009639094373449,-787.150000000016,0.07374706218629218,30.46234866828075,29.191404358353623,175,238,"{'2024-05': -207.45000000000073, '2024-06': -6.400000000012369, '2024-07': 444.8999999999978, '2024-08': -173.00000000004366}",15.585701981066642,24.23514211888763
SEDV3_653bac2e6a30,114,154.49999999999636,-16.500000000003638,171.0,"{'cost_points_per_trade': 1.5, 'net_at_2x_cost': -187.50000000000364}",0.4824561403508772,60.57545454545437,-56.74830508474567,-0.14473684210529508,0.9950719053805822,-1364.6499999999978,-0.012091012347491051,53.104385964912005,61.26798245614037,60,54,"{'2024-05': -130.40000000000146, '2024-06': 641.75, '2024-07': -67.45000000000073, '2024-08': -460.40000000000146}",-84.47878787876934,-115.32727272724739
SEDV3_57333935c823,216,-107.8000000000211,-431.8000000000211,324.0,"{'cost_points_per_trade': 1.5, 'net_at_2x_cost': -755.8000000000211}",0.4351851851851852,43.46648936170219,-37.02991803278711,-1.9990740740741717,0.904419333060326,-1639.2500000000146,-0.26341314625592027,42.51574074074063,37.542129629629656,99,117,"{'2024-05': 193.99999999999636, '2024-06': -436.5499999999993, '2024-07': -537.2500000000146, '2024-08': 347.99999999999636}",-1.9440713293190444,-3.3420565076422686
SEDV3_f577427e60ef,247,-210.69999999997526,-581.1999999999753,370.5,"{'cost_points_per_trade': 1.5, 'net_at_2x_cost': -951.6999999999753}",0.5384615384615384,32.25563909774453,-42.72982456140348,-2.3530364372468635,0.880686483823293,-1689.4500000000007,-0.3440172837313771,34.19230769230781,40.88076923076917,115,132,"{'2024-05': -418.8999999999978, '2024-06': 860.0000000000255, '2024-07': 365.5500000000029, '2024-08': -1387.8500000000058}",-0.9014108740537292,-1.6357536132141233
SEDV3_82706963c73a,240,-272.59999999998763,-632.5999999999876,360.0,"{'cost_points_per_trade': 1.5, 'net_at_2x_cost': -992.5999999999876}",0.5083333333333333,45.37008196721322,-52.269067796610166,-2.6358333333332817,0.897434234526369,-1812.5499999999993,-0.34901106176380675,40.85749999999994,51.69479166666664,105,135,"{'2024-05': -809.3999999999978, '2024-06': 1701.4000000000087, '2024-07': 92.950000000008, '2024-08': -1617.5500000000065}",-1.5848087258931751,-2.5116977552956627
SEDV3_02e046f49f8d,480,-852.3499999999949,-1572.349999999995,720.0,"{'cost_points_per_trade': 1.5, 'net_at_2x_cost': -2292.349999999995}",0.4083333333333333,46.82168367346946,-37.85000000000003,-3.275729166666656,0.8537267196308637,-4045.4999999999964,-0.3886664194784319,41.17062499999997,38.59395833333322,201,279,"{'2024-05': 302.79999999999563, '2024-06': -946.5000000000036, '2024-07': -1281.0999999999876, '2024-08': 352.4500000000007}",-1.2565904537793784,-1.792985022418679
