strategy_variant,rsi_variant,parameter_set,signal_timestamp,entry_timestamp,entry_price,exit_timestamp,exit_price,holding_sessions,gross_return,estimated_spread,slippage,fees_and_taxes,net_return,MAE,MFE,regime_label,calendar_year,WFA_fold,exit_reason
RSI2_MEAN_REVERSION_LONG_ONLY,WILDER_RSI_2,"{""cost_model"": ""base_index_proxy_costs"", ""entry_threshold"": 15.0, ""exit_threshold"": 85.0, ""lane"": ""NEXT_OPEN_EXECUTABLE"", ""rsi_period"": 2, ""sma_period"": 200, ""use_trend_filter"": true}",2014-12-08,2014-12-09,8439.2998046875,2014-12-23,8324.599609375,10,-0.01359119808124265,0.0001,0.0002,0.0003,-0.01419119808124265,-0.05663381063506945,0.00061618800526686,UP_STRONG,2014,2013_2015,RSI_EXIT_THRESHOLD_OBSERVED
RSI2_MEAN_REVERSION_LONG_ONLY,WILDER_RSI_2,"{""cost_model"": ""base_index_proxy_costs"", ""entry_threshold"": 15.0, ""exit_threshold"": 85.0, ""lane"": ""NEXT_OPEN_EXECUTABLE"", ""rsi_period"": 2, ""sma_period"": 200, ""use_trend_filter"": true}",2015-01-06,2015-01-07,8118.64990234375,2015-01-16,8504.0498046875,7,0.04747093506673927,0.0001,0.0002,0.0003,0.04687093506673927,-0.0065527775764652185,0.0507596832740973,UP_WEAK,2015,2013_2015,RSI_EXIT_THRESHOLD_OBSERVED
RSI2_MEAN_REVERSION_LONG_ONLY,WILDER_RSI_2,"{""cost_model"": ""base_index_proxy_costs"", ""entry_threshold"": 15.0, ""exit_threshold"": 85.0, ""lane"": ""NEXT_OPEN_EXECUTABLE"", ""rsi_period"": 2, ""sma_period"": 200, ""use_trend_filter"": true}",2015-02-03,2015-02-04,8789.150390625,2015-02-13,8741.5,7,-0.005421501340542201,0.0001,0.0002,0.0003,-0.006021501340542201,-0.036254970783625495,0.005609166130560839,UP_STRONG,2015,2013_2015,RSI_EXIT_THRESHOLD_OBSERVED
RSI2_MEAN_REVERSION_LONG_ONLY,WILDER_RSI_2,"{""cost_model"": ""base_index_proxy_costs"", ""entry_threshold"": 15.0, ""exit_threshold"": 85.0, ""lane"": ""NEXT_OPEN_EXECUTABLE"", ""rsi_period"": 2, ""sma_period"": 200, ""use_trend_filter"": true}",2015-02-23,2015-02-24,8772.900390625,2015-03-03,8962.849609375,5,0.021651815282547338,0.0001,0.0002,0.0003,0.021051815282547338,-0.011792017543371447,0.026844029854899754,UP_WEAK,2015,2013_2015,RSI_EXIT_THRESHOLD_OBSERVED
RSI2_MEAN_REVERSION_LONG_ONLY,WILDER_RSI_2,"{""cost_model"": ""base_index_proxy_costs"", ""entry_threshold"": 15.0, ""exit_threshold"": 85.0, ""lane"": ""NEXT_OPEN_EXECUTABLE"", ""rsi_period"": 2, ""sma_period"": 200, ""use_trend_filter"": true}",2015-03-09,2015-03-10,8769.75,2015-04-06,8615.7998046875,17,-0.017554684604749293,0.0001,0.0002,0.0003,-0.018154684604749293,-0.05708254048005934,0.009122266883320407,UP_WEAK,2015,2013_2015,RSI_EXIT_THRESHOLD_OBSERVED
RSI2_MEAN_REVERSION_LONG_ONLY,WILDER_RSI_2,"{""cost_model"": ""base_index_proxy_costs"", ""entry_threshold"": 15.0, ""exit_threshold"": 85.0, ""lane"": ""NEXT_OPEN_EXECUTABLE"", ""rsi_period"": 2, ""sma_period"": 200, ""use_trend_filter"": true}",2015-04-17,2015-04-20,8618.7998046875,2015-05-19,8356.2001953125,20,-0.030468234014691897,0.0001,0.0002,0.0003,-0.031068234014691897,-0.07212720058837585,0.00013347457315049382,UP_WEAK,2015,2013_2015,RSI_EXIT_THRESHOLD_OBSERVED
RSI2_MEAN_REVERSION_LONG_ONLY,WILDER_RSI_2,"{""cost_model"": ""base_index_proxy_costs"", ""entry_threshold"": 15.0, ""exit_threshold"": 85.0, ""lane"": ""NEXT_OPEN_EXECUTABLE"", ""rsi_period"": 2, ""sma_period"": 200, ""use_trend_filter"": true}",2015-05-28,2015-05-29,8327.099609375,2015-06-01,8417.25,1,0.010826145339189353,0.0001,0.0002,0.0003,0.010226145339189353,-0.002569852057300648,0.0168186749072059,DOWN_OR_SIDEWAYS,2015,2013_2015,RSI_EXIT_THRESHOLD_OBSERVED
RSI2_MEAN_REVERSION_LONG_ONLY,WILDER_RSI_2,"{""cost_model"": ""base_index_proxy_costs"", ""entry_threshold"": 15.0, ""exit_threshold"": 85.0, ""lane"": ""NEXT_OPEN_EXECUTABLE"", ""rsi_period"": 2, ""sma_period"": 200, ""use_trend_filter"": true}",2015-08-11,2015-08-12,8445.7001953125,2015-09-15,7867.35009765625,24,-0.06847864407704685,0.0001,0.0002,0.0003,-0.06907864407704685,-0.10729722513894768,0.010052383117935104,UP_WEAK,2015,2013_2015,RSI_EXIT_THRESHOLD_OBSERVED
RSI2_MEAN_REVERSION_LONG_ONLY,WILDER_RSI_2,"{""cost_model"": ""base_index_proxy_costs"", ""entry_threshold"": 15.0, ""exit_threshold"": 85.0, ""lane"": ""NEXT_OPEN_EXECUTABLE"", ""rsi_period"": 2, ""sma_period"": 200, ""use_trend_filter"": true}",2016-06-10,2016-06-13,8102.25,2016-07-01,8313.0498046875,14,0.02601744017865415,0.0001,0.0002,0.0003,0.02541744017865415,-0.02162364717362464,0.03141102780091942,UP_STRONG,2016,2016_2018,RSI_EXIT_THRESHOLD_OBSERVED
RSI2_MEAN_REVERSION_LONG_ONLY,WILDER_RSI_2,"{""cost_model"": ""base_index_proxy_costs"", ""entry_threshold"": 15.0, ""exit_threshold"": 85.0, ""lane"": ""NEXT_OPEN_EXECUTABLE"", ""rsi_period"": 2, ""sma_period"": 200, ""use_trend_filter"": true}",2016-08-03,2016-08-04,8599.9501953125,2016-08-08,8712.849609375,2,0.01312791487141829,0.0001,0.0002,0.0003,0.01252791487141829,-0.00951166028055439,0.014366339557971175,UP_STRONG,2016,2016_2018,RSI_EXIT_THRESHOLD_OBSERVED
