expired_instrument_key,expiry,option_type,strike,timestamp,session,minute_of_day,days_to_expiry,premium_band,open,high,low,close,volume,open_interest,entry_price_next_open,prior_5m_return_pct,prior_10m_range_pct,prior_5m_volume_ratio,transition_compression_to_lift,transition_put_call_selloff_or_lift,transition_volume_participation,session_id,expiry_id,previous_return,previous_close,previous_volume_ratio,previous_open_interest,return_acceleration,volume_acceleration,oi_change_ratio,bar_acceptance,positive_return,positive_acceleration,volume_participating,positive_weight,weighted_strike_numerator,surface_count,breadth_positive,breadth_acceleration,breadth_volume,surface_median_return,surface_median_acceleration,surface_return_dispersion,breadth_delta,acceleration_breadth_delta,directional_mass_shift,compression_transition_breadth,put_call_transition_breadth,participation_transition_breadth,mirror_return,mirror_acceleration,mirror_volume_ratio,option_asymmetry,mechanism,score,forward_mfe_points,forward_mae_points,forward_close_change_points,forward_expansion_pct,label_horizon_minutes,is_expansion_event,move_cluster_id,gross_return_pct,net_return_pct,stress_return_pct,fold_id,partition
NSE_FO|48237|17-02-2026,2026-02-17,PE,26000.0,2026-02-12 05:02:00+00:00,2026-02-12,632,5,3,166.5,168.55,163.8,168.2,272480,5234320,168.15,1.5393902807123272,7.2235434007134405,1.2156009859359143,False,False,False,2026-02-12,2026-02-17,0.3319251659625877,166.25,0.7295925764825286,5234320.0,1.2074651147497395,0.48600840945338564,0.0,False,1.0,1.0,1.0,19.265968380925802,500915.1779040709,8,0.875,1.0,0.25,1.5931169152875402,1.5455697791126544,0.836384023104953,0.25,0.375,619.8513016165161,0.25,0.0,0.125,-2.22563315425941,-0.8473789429271128,0.6088351695368489,3.765023434971737,surface_consensus_continuation,5.526388796205455,10.299999999999983,6.150000000000006,9.400000000000006,6.125483199524224,5,False,,5.590246803449304,5.490246803449304,4.590246803449304,fold_4,research_oof
NSE_FO|64859|24-02-2026,2026-02-24,PE,25650.0,2026-02-18 04:30:00+00:00,2026-02-18,600,6,3,124.85,134.65,124.35,130.35,1810900,3790800,130.8,6.93191140278917,29.99616417337937,4.120387487983436,False,True,True,2026-02-18,2026-02-24,16.666666666666675,124.95,3.76455938697318,3425955.0,-9.734755263877505,0.35582810101025597,0.10649439353406569,False,1.0,0.0,1.0,99.88423407446719,2562030.6040100832,8,1.0,0.125,0.75,5.870133111039144,-6.943203164473854,1.6693801536111834,0.0,-0.25,205.8521024937072,0.125,0.625,0.75,-4.6483180428134485,3.694539100043693,5.378022910479423,11.580229445602619,surface_consensus_continuation,22.34508158147598,3.0,10.150000000000006,-7.750000000000014,2.2935779816513757,5,False,,-5.925076452599399,-6.025076452599398,-6.925076452599399,fold_4,research_oof
NSE_FO|64858|24-02-2026,2026-02-24,CE,25650.0,2026-02-18 05:04:00+00:00,2026-02-18,634,6,3,161.0,161.8,158.9,160.6,374075,4317755,160.3,1.292967518133059,8.15691158156913,1.1083293211362542,False,False,False,2026-02-18,2026-02-24,5.366492146596857,161.0,1.0128111655035934,4317755.0,-4.073524628463798,0.09551815563266075,0.0,False,1.0,0.0,1.0,16.591636229474933,425575.469286032,7,0.7142857313156128,0.1428571492433548,0.1428571492433548,1.292967518133059,-3.8896892090169333,1.168562449234889,0.0,-0.5714285969734192,5.803119668307772,0.0,0.0,0.0,-2.0706455542021995,5.823077972944512,0.4034137534876087,3.3636130723352586,surface_consensus_continuation,7.71422003108312,6.899999999999977,7.75,-7.100000000000023,4.304429195258875,5,False,,-4.429195258889596,-4.529195258889596,-5.429195258889596,fold_4,research_oof
NSE_FO|64863|24-02-2026,2026-02-24,PE,25750.0,2026-02-19 04:30:00+00:00,2026-02-19,600,5,3,103.4,105.8,99.6,103.7,728130,5177185,103.8,2.724120851906875,16.055930568948895,1.2942807625649912,False,False,False,2026-02-19,2026-02-24,0.829673011224985,103.3,0.9864818024263432,5177185.0,1.8944478406818899,0.30779896013864805,0.0,False,1.0,1.0,1.0,36.770826849059205,946848.7913632746,8,0.875,0.875,0.75,2.663175667589124,1.9276160772036977,1.0509689505305193,0.125,0.875,106.39420932630674,0.0,0.0,0.125,-3.1217481789802326,-1.0930668218623762,1.2197566213314244,5.8458690308871075,surface_consensus_continuation,8.188887062210245,4.200000000000003,8.950000000000003,-8.25,4.046242774566477,5,False,,-7.947976878612717,-8.047976878612717,-8.947976878612717,fold_4,research_oof
NSE_FO|64859|24-02-2026,2026-02-24,PE,25650.0,2026-02-19 05:05:00+00:00,2026-02-19,635,5,2,88.4,89.75,85.1,87.2,458575,3713580,87.3,0.8092485549132888,12.72935779816513,1.4818315479941189,False,False,False,2026-02-19,2026-02-24,7.277137659187383,88.45,1.3568578029825666,3713580.0,-6.467889104274094,0.12497374501155223,0.0,False,1.0,0.0,1.0,10.549268116062331,270588.7271769988,8,1.0,0.0,0.5,0.9843906388458445,-4.864247173553871,1.68051247792538,0.0,-1.0,1002.8317456123805,0.0,0.125,0.125,0.18827326519634813,3.538181666138518,1.5222112537018757,0.6209752897169407,surface_consensus_continuation,7.459322280989564,20.35000000000001,0.09999999999999432,14.25,23.310423825887757,5,False,,16.323024054982817,16.223024054982815,15.323024054982817,fold_4,research_oof
NSE_FO|64860|24-02-2026,2026-02-24,CE,25700.0,2026-02-20 04:16:00+00:00,2026-02-20,586,4,2,49.8,51.8,49.25,50.1,1226810,15246985,50.15,14.645308924485123,19.46107784431138,1.323330411919369,False,True,False,2026-02-20,2026-02-24,10.165745856353592,49.85,1.3909713825070535,15122120.0,4.479563068131531,-0.06764097058768459,0.008257109452907396,False,1.0,1.0,1.0,205.32618658268157,5276882.995174916,5,1.0,1.0,0.4000000059604645,14.347202295552375,4.777160686675796,0.5497653459106374,0.0,0.0,2.884016441363201,0.0,1.0,0.0,-9.046936581870302,-2.063389963954398,0.6272833268558103,23.692245506355427,surface_consensus_continuation,28.502641177466803,14.250000000000007,0.25,12.950000000000003,28.41475573280161,5,False,,25.82253240279163,25.72253240279163,24.82253240279163,fold_4,research_oof
NSE_FO|64862|24-02-2026,2026-02-24,CE,25750.0,2026-02-20 04:52:00+00:00,2026-02-20,622,4,2,53.6,59.55,53.6,57.2,1230775,7474155,57.3,14.62925851703407,34.353146853146846,2.8941536110049677,False,True,True,2026-02-20,2026-02-24,10.950413223140497,53.7,0.8004737465455981,7546565.0,3.6788452938935734,2.0936798644593697,-0.009595093926839562,False,1.0,1.0,1.0,205.14836590362725,5282570.422018401,5,1.0,1.0,1.0,14.591593973037288,3.6788452938935734,0.37751633499549175,0.0,1.0,5.144425289970968,0.0,1.0,1.0,-7.65306122448981,-0.058357289219501673,1.7471698113207548,22.28231974152388,surface_consensus_continuation,26.684703438168697,8.25,3.3999999999999986,4.300000000000004,14.397905759162304,5,False,,7.504363001745208,7.4043630017452085,6.504363001745208,fold_4,research_oof
NSE_FO|64867|24-02-2026,2026-02-24,PE,25850.0,2026-02-23 04:42:00+00:00,2026-02-23,612,1,3,168.25,176.1,167.4,173.4,174525,1330680,173.4,0.8139534883720989,11.361014994232981,1.2599718442045988,False,False,False,2026-02-23,2026-02-24,2.5946275946275854,168.05,0.8871536523929471,1330680.0,-1.7806741062554865,0.37281819181165177,0.0,False,1.0,0.0,1.0,9.824279424025912,253957.6231110698,8,1.0,0.125,0.875,1.1605798079356133,-1.8603577809917837,1.0424917810131558,0.0,-0.875,617.9921354993166,0.25,0.0,0.625,-6.076210092687939,1.846495221321721,1.507429130009775,6.890163581060038,surface_consensus_continuation,8.985830648366674,10.150000000000006,13.400000000000006,-12.050000000000011,5.853517877739335,5,False,,-6.94925028835064,-7.04925028835064,-7.94925028835064,fold_4,research_oof
NSE_FO|64859|24-02-2026,2026-02-24,PE,25650.0,2026-02-23 05:57:00+00:00,2026-02-23,687,1,2,93.9,95.95,89.75,91.1,2192320,10279425,91.15,2.417088251826849,22.447859495060378,1.351552795031056,False,False,False,2026-02-23,2026-02-24,13.458056729028378,94.0,1.06800240432779,10279425.0,-11.04096847720153,0.28355039070326593,0.0,False,1.0,0.0,1.0,35.29062779039753,905204.6028236967,8,0.75,0.125,0.75,2.0864772344330484,-7.671457789918435,1.2186134088927674,-0.125,-0.5,392.5143184368935,0.125,0.0,0.25,-2.2769516728624484,7.701261834762828,0.8925709418915256,4.694039924689298,surface_consensus_continuation,16.19789660064859,7.349999999999994,3.5500000000000114,0.04999999999999716,8.063631376851337,5,False,,0.05485463521667269,-0.04514536478332731,-0.9451453647833273,fold_4,research_oof
NSE_FO|48346|27-03-2025,2025-03-27,PE,23050.0,2025-03-21 04:16:00+00:00,2025-03-21,586,6,2,48.55,51.5,47.7,50.4,256950,2486775,50.4,-4.725897920604916,23.015873015873005,1.0510814542107685,False,False,False,2025-03-21,2025-03-27,-14.886164623467602,48.6,1.2563619227144203,2486775.0,10.160266702862685,-0.20528046850365178,0.0,False,0.0,1.0,1.0,0.0,0.0,5,0.0,1.0,0.6000000238418579,-3.855721393034839,10.569565963286998,0.7350679651327787,0.0,1.0,,0.0,0.0,0.0,0.805040252012601,-10.567211453825154,0.6166666666666667,-5.530938172617517,failed_extension_reversal,15.953975239032895,3.25,0.8999999999999986,1.3500000000000014,6.4484126984126995,5,False,,2.6785714285714315,2.5785714285714314,1.6785714285714315,fold_1,research_oof
