expired_instrument_key,expiry,option_type,strike,timestamp,session,minute_of_day,days_to_expiry,premium_band,open,high,low,close,volume,open_interest,entry_price_next_open,prior_5m_return_pct,prior_10m_range_pct,prior_5m_volume_ratio,transition_compression_to_lift,transition_put_call_selloff_or_lift,transition_volume_participation,session_id,expiry_id,previous_return,previous_close,previous_volume_ratio,previous_open_interest,return_acceleration,volume_acceleration,oi_change_ratio,bar_acceptance,positive_return,positive_acceleration,volume_participating,positive_weight,weighted_strike_numerator,surface_count,breadth_positive,breadth_acceleration,breadth_volume,surface_median_return,surface_median_acceleration,surface_return_dispersion,breadth_delta,acceleration_breadth_delta,directional_mass_shift,compression_transition_breadth,put_call_transition_breadth,participation_transition_breadth,mirror_return,mirror_acceleration,mirror_volume_ratio,option_asymmetry,mechanism,premium_distance,extremity_score,forward_mfe_points,forward_mae_points,forward_close_change_points,forward_expansion_pct,label_horizon_minutes,is_expansion_event,move_cluster_id,gross_return_pct,net_return_pct,stress_return_pct,fold_id,partition,ledger_role,previous_timestamp
NSE_FO|40047|10-07-2025,2025-07-10,CE,25450.0,2025-07-09 07:34:00+00:00,2025-07-09,784,1,3,127.2,127.85,113.4,116.1,1205100,4512225,116.1,-11.542857142857144,18.044788975021525,8.412565445026178,False,False,True,2025-07-09,2025-07-10,-3.424657534246578,126.9,2.586387434554974,4533975.0,-8.118199608610567,5.826178010471205,-0.004797115114220965,False,0.0,0.0,1.0,0.0,0.0,8,0.0,0.0,0.625,-9.752241171177516,-6.513850940903504,6.100490824035619,0.0,0.0,,0.0,0.0,0.625,31.587561374795413,19.39243942357589,10.847858599592115,-43.13041851765256,late_day_ce_inventory_rebound_v3,33.900000000000006,71.20404071414644,8.900000000000006,0.9499999999999886,5.300000000000011,7.665805340223949,5,False,,4.565030146425506,4.465030146425506,3.5650301464255056,fold_2,research_oof,research_oof_primary,
NSE_FO|40040|10-07-2025,2025-07-10,CE,25350.0,2025-07-10 07:36:00+00:00,2025-07-10,786,0,2,54.95,55.45,47.0,51.1,3210450,8315325,50.95,-14.117647058823524,40.21526418786692,2.8837240635947183,False,False,True,2025-07-10,2025-07-10,-5.731394354148844,55.1,1.0782965623396614,7878900.0,-8.386252704674678,1.805427501255057,0.055391615580855195,False,0.0,0.0,1.0,0.0,0.0,6,0.0,0.0,0.8333333,-22.471339239187074,-8.148919411214504,10.27595546882608,0.0,-0.8333333,,0.0,0.0,1.0,18.09954751131222,7.3518839599103565,2.220653582669876,-32.217194570135746,late_day_ce_inventory_rebound_v3,99.05,57.60481839722867,4.199999999999996,2.1500000000000057,-0.15000000000000568,8.243375858684976,5,False,,-0.29440628066733204,-0.3944062806673321,-1.294406280667332,fold_2,research_oof,research_oof_primary,
NSE_FO|47293|17-07-2025,2025-07-17,CE,25300.0,2025-07-11 07:39:00+00:00,2025-07-11,789,6,2,79.15,79.2,73.1,73.35,1093125,11662650,73.15,-11.090909090909095,14.178595773687807,5.48241489561783,False,False,True,2025-07-11,2025-07-17,-2.6429010448678403,79.2,1.394771487681023,11662650.0,-8.448008046041256,4.087643407936807,0.0,False,0.0,0.0,1.0,0.0,0.0,6,0.0,0.0,0.8333333,-10.502903810553793,-7.763593465726209,4.257909850558964,0.0,-0.5,,0.0,0.0,0.8333333333333334,10.20576131687243,6.764959366181555,4.378637863786379,-21.296670407781527,late_day_ce_inventory_rebound_v3,76.85,46.31800244034971,6.699999999999989,0.25,6.549999999999997,9.159261790840723,5,False,,8.954203691045793,8.854203691045793,7.954203691045793,fold_2,research_oof,research_oof_primary,
NSE_FO|47282|17-07-2025,2025-07-17,CE,25150.0,2025-07-14 07:37:00+00:00,2025-07-14,787,3,2,71.0,71.1,64.8,64.85,494850,6270075,64.85,-9.553695955369612,12.336160370084812,3.76490727532097,False,False,True,2025-07-14,2025-07-17,0.4953998584571684,71.0,0.9426533523537803,6270075.0,-10.049095813826781,2.8222539229671897,0.0,False,0.0,0.0,1.0,0.0,0.0,6,0.0,0.0,0.8333333,-9.380120952009374,-8.917629346177863,3.843059036389683,-0.33333334,-0.8333333,,0.0,0.0,0.8333333333333334,9.286412512218956,9.673634196633273,4.233101936426745,-18.840108467588568,late_day_ce_inventory_rebound_v3,85.15,42.20780751210594,0.45000000000000284,4.099999999999994,-0.75,0.6939090208172751,5,False,,-1.1565150346954511,-1.2565150346954512,-2.156515034695451,fold_2,research_oof,research_oof_primary,
NSE_FO|47282|17-07-2025,2025-07-17,CE,25150.0,2025-07-15 08:37:00+00:00,2025-07-15,847,2,2,103.95,103.95,93.0,94.5,982050,4101150,94.7,-9.871244635193133,18.148148148148156,4.552059794889622,False,False,True,2025-07-15,2025-07-17,-2.622950819672132,103.95,1.5491048148791935,4046925.0,-7.248293815521,3.002954980010429,0.013399062250968327,False,0.0,0.0,1.0,0.0,0.0,6,0.0,0.0,0.8333333,-10.558250958118776,-7.139459120290926,3.6784202409571614,0.0,-0.33333334,,0.0,0.0,1.0,17.428571428571416,14.23708206686929,6.072763909101086,-27.29981606376455,late_day_ce_inventory_rebound_v3,55.3,48.971414309368306,12.849999999999994,0.20000000000000284,11.25,13.56916578669482,5,False,,11.87961985216473,11.77961985216473,10.87961985216473,fold_2,research_oof,research_oof_primary,
NSE_FO|47282|17-07-2025,2025-07-17,CE,25150.0,2025-07-17 07:35:00+00:00,2025-07-17,785,0,1,50.4,50.45,38.6,40.2,6064125,11155350,40.1,-20.238095238095234,40.796019900497505,6.245076079400634,False,False,True,2025-07-17,2025-07-17,-1.5594541910331383,50.5,0.7647331428130069,11155350.0,-18.678641047062094,5.480342936587627,0.0,False,0.0,0.0,1.0,0.0,0.0,8,0.0,0.125,0.625,-11.990561990561993,-3.644350821567743,10.923816381304288,0.0,0.125,,0.0,0.0,0.75,31.927710843373468,30.708198648251493,5.468691576817681,-52.1658060814687,late_day_ce_inventory_rebound_v3,109.9,97.32761844602666,5.299999999999997,2.6000000000000014,2.8999999999999986,13.21695760598503,5,False,,7.231920199501244,7.131920199501244,6.231920199501244,fold_2,research_oof,research_oof_primary,
NSE_FO|49492|24-07-2025,2025-07-24,CE,25100.0,2025-07-21 09:05:00+00:00,2025-07-21,875,3,2,76.2,76.55,71.05,71.55,944250,10814700,71.7,-10.785536159601005,13.487071977638024,2.9272262264589632,False,False,True,2025-07-21,2025-07-24,-1.1650485436893288,76.35,0.49542809642560265,10814700.0,-9.620487615911676,2.4317981300333606,0.0,False,0.0,0.0,1.0,0.0,0.0,6,0.0,0.0,0.8333333,-10.320304311684563,-9.216720502338326,4.33151727372356,0.0,-0.8333333,,0.0,0.0,0.8333333333333334,10.945054945054956,9.328033668459202,3.1734597156398103,-21.73059110465596,late_day_ce_inventory_rebound_v3,78.3,45.0638411066276,1.2999999999999972,4.700000000000003,-0.7999999999999972,1.8131101813110142,5,False,,-1.1157601115760072,-1.2157601115760073,-2.115760111576007,fold_2,research_oof,research_oof_primary,
NSE_FO|49519|24-07-2025,2025-07-24,CE,25200.0,2025-07-22 07:35:00+00:00,2025-07-22,785,2,1,41.8,42.0,36.4,37.1,1279650,15005925,37.2,-15.489749430523913,24.932614555256063,3.9757660491669577,False,False,True,2025-07-22,2025-07-24,-1.4134275618374548,41.85,0.5634393568682279,15005925.0,-14.076321868686458,3.4123266922987296,0.0,False,0.0,0.0,1.0,0.0,0.0,7,0.0,0.0,0.71428573,-11.468472280998743,-11.035196717740515,6.516873728935905,0.0,-0.71428573,,0.0,0.0,0.7142857142857143,10.021141649048616,9.563380517130172,6.143894846074023,-25.51089107957253,late_day_ce_inventory_rebound_v3,112.8,59.05272842794986,1.2999999999999972,2.200000000000003,0.29999999999999716,3.4946236559139705,5,False,,0.8064516129032182,0.7064516129032182,-0.1935483870967818,fold_2,research_oof,research_oof_primary,
NSE_FO|49519|24-07-2025,2025-07-24,CE,25200.0,2025-07-23 07:52:00+00:00,2025-07-23,802,1,1,46.3,46.35,38.95,39.8,4392225,18309300,39.8,-13.47826086956523,22.73869346733668,3.407400942572875,False,False,True,2025-07-23,2025-07-24,1.2008733624454315,46.35,1.3595740967009948,18347400.0,-14.67913423201066,2.04782684587188,-0.002076588508453514,False,0.0,0.0,1.0,0.0,0.0,8,0.0,0.0,0.625,-6.420514664077393,-7.18620351014202,5.307065612622228,-0.625,0.0,,0.0,0.0,0.625,8.615384615384603,9.233145233145235,3.5762663975782036,-22.093645484949832,late_day_ce_inventory_rebound_v3,110.2,53.658441529098596,4.950000000000003,1.75,4.0,12.43718592964825,5,False,,10.050251256281408,9.950251256281408,9.050251256281408,fold_2,research_oof,research_oof_primary,
NSE_FO|49487|24-07-2025,2025-07-24,CE,25000.0,2025-07-24 09:18:00+00:00,2025-07-24,888,0,2,73.05,73.15,58.5,62.55,3210225,6464175,62.55,-16.040268456375838,67.7857713828937,3.078355927936999,False,False,True,2025-07-24,2025-07-24,-8.494690818238592,73.25,1.2711432890444745,6464175.0,-7.545577638137246,1.8072126388925245,0.0,False,0.0,0.0,1.0,0.0,0.0,7,0.0,0.0,0.71428573,-23.529411764705877,-10.782608695652172,18.664085612326474,0.0,-0.71428573,,0.0,0.0,0.42857142857142855,40.000000000000014,43.225806451612925,2.8927608221975043,-56.040268456375856,late_day_ce_inventory_rebound_v3,87.45,82.70447047882594,10.100000000000009,5.25,-3.049999999999997,16.14708233413271,5,False,,-4.876099120703433,-4.976099120703433,-5.876099120703433,fold_2,research_oof,research_oof_primary,
