evidence_lane,expectancy,friction_bps_per_side,net_pnl,normalization,overlay_name,partition,profit_factor,strategy_id,trades
PRICE_STRUCTURE_CANDIDATE_OVERLAY,-44.04007979910717,5.0,-2466.2444687500015,one_lot_rupee,COMMON_OPTION_OVERLAY_V1,development,0.8904145695006411,LATE_DAY_MOMENTUM,56
PRICE_STRUCTURE_CANDIDATE_OVERLAY,-0.714900066964286,5.0,-40.03440375000002,per_option_unit,COMMON_OPTION_OVERLAY_V1,development,0.9006658181430276,LATE_DAY_MOMENTUM,56
PRICE_STRUCTURE_CANDIDATE_OVERLAY,-0.38457915618015265,5.0,-21.536432746088547,net_return_pct,COMMON_OPTION_OVERLAY_V1,development,0.950362913835999,LATE_DAY_MOMENTUM,56
PRICE_STRUCTURE_CANDIDATE_OVERLAY,-57.65372154017859,15.0,-3228.608406250001,one_lot_rupee,COMMON_OPTION_OVERLAY_V1,development,0.8593974976251397,LATE_DAY_MOMENTUM,56
PRICE_STRUCTURE_CANDIDATE_OVERLAY,-0.9363966294642857,15.0,-52.43821125,per_option_unit,COMMON_OPTION_OVERLAY_V1,development,0.8722242153349805,LATE_DAY_MOMENTUM,56
PRICE_STRUCTURE_CANDIDATE_OVERLAY,-0.5842944346632136,15.0,-32.72048834113996,net_return_pct,COMMON_OPTION_OVERLAY_V1,development,0.9256770042550355,LATE_DAY_MOMENTUM,56
PRICE_STRUCTURE_CANDIDATE_OVERLAY,-71.26736328125001,25.0,-3990.9723437500006,one_lot_rupee,COMMON_OPTION_OVERLAY_V1,development,0.8295920842925116,LATE_DAY_MOMENTUM,56
PRICE_STRUCTURE_CANDIDATE_OVERLAY,-1.1578931919642859,25.0,-64.84201875000001,per_option_unit,COMMON_OPTION_OVERLAY_V1,development,0.8447854461682556,LATE_DAY_MOMENTUM,56
PRICE_STRUCTURE_CANDIDATE_OVERLAY,-0.784009713146275,25.0,-43.9045439361914,net_return_pct,COMMON_OPTION_OVERLAY_V1,development,0.9016951982649939,LATE_DAY_MOMENTUM,56
PRICE_STRUCTURE_CANDIDATE_OVERLAY,-9.463541666666591,0.0,-170.34374999999864,one_lot_rupee,COMMON_OPTION_OVERLAY_V1,validation,0.9818806134863284,LATE_DAY_MOMENTUM,18
