expired_instrument_key,expiry,option_type,strike,timestamp,session,minute_of_day,days_to_expiry,premium_band,open,high,low,close,volume,open_interest,entry_price_next_open,prior_5m_return_pct,prior_10m_range_pct,prior_5m_volume_ratio,transition_compression_to_lift,transition_put_call_selloff_or_lift,transition_volume_participation,session_id,expiry_id,previous_return,previous_close,previous_volume_ratio,previous_open_interest,return_acceleration,volume_acceleration,oi_change_ratio,bar_acceptance,positive_return,positive_acceleration,volume_participating,positive_weight,weighted_strike_numerator,surface_count,breadth_positive,breadth_acceleration,breadth_volume,surface_median_return,surface_median_acceleration,surface_return_dispersion,breadth_delta,acceleration_breadth_delta,directional_mass_shift,compression_transition_breadth,put_call_transition_breadth,participation_transition_breadth,mirror_return,mirror_acceleration,mirror_volume_ratio,option_asymmetry,surface_residual,surface_acceleration_residual,surface_residual_rank,surface_volume_rank,surface_oi_rank,mechanism,premium_distance,score,forward_mfe_points,forward_mae_points,forward_close_change_points,forward_expansion_pct,label_horizon_minutes,is_expansion_event,move_cluster_id,gross_return_pct,net_return_pct,stress_return_pct,fold_id,partition
NSE_FO|49835|27-03-2025,2025-03-27,PE,23250.0,2025-03-21 04:31:00+00:00,2025-03-21,601,6,3,118.5,125.7,118.25,124.05,599550,3053100,124.1,2.520661157024784,10.07658202337767,1.4183818310858765,False,False,False,2025-03-21,2025-03-27,-0.7929883138564353,118.85,0.6864797728885734,3053100.0,3.313649470881219,0.731902058197303,0.0,False,1.0,1.0,1.0,33.534715519179684,779682.1358209277,5,1.0,1.0,1.0,3.4990791896869267,4.254019272024601,0.48397962680881734,1.0,0.0,,0.0,0.0,0.0,-2.00138026224983,-2.341863748800743,1.0633823105733218,4.522041419274614,-0.9784180326621428,-0.9403698011433814,0.2,0.8,0.4,oi_supported_surface_lag,25.900000000000006,17.92991642624768,3.9000000000000057,7.8999999999999915,-4.349999999999994,3.1426269137792153,5,False,,-3.5052377115229607,-3.605237711522961,-4.505237711522961,fold_1,research_oof
NSE_FO|48251|27-03-2025,2025-03-27,CE,23050.0,2025-03-21 04:56:00+00:00,2025-03-21,626,6,4,279.75,290.0,279.3,288.75,26100,712275,290.0,5.329393740424604,8.190476190476183,2.2025316455696204,False,True,True,2025-03-21,2025-03-27,1.4937849821908822,279.25,0.610909090909091,712275.0,3.8356087582337217,1.5916225546605296,0.0,True,1.0,1.0,1.0,54.19848957746491,1249275.184760566,5,1.0,1.0,1.0,6.353522867737937,4.987669209201351,0.8379430043579827,0.0,0.0,5.154551621493738,0.0,1.0,1.0,-8.471275559883162,-5.8970181341405965,1.4912868632707774,13.800669300307767,-1.0241291273133335,-1.152060450967629,0.2,0.2,0.2,oi_supported_surface_lag,140.0,13.9786515906941,25.0,5.360000000000014,24.0,8.620689655172415,5,True,NSE_FO|48251|27-03-2025:4384,8.275862068965518,8.175862068965518,7.275862068965518,fold_1,research_oof
NSE_FO|54712|03-04-2025,2025-04-03,CE,23500.0,2025-03-28 04:15:00+00:00,2025-03-28,585,6,3,174.15,179.2,170.9,179.2,538800,4024125,181.05,2.400000000000002,8.063616071428566,1.2248934356351235,False,False,False,2025-03-28,2025-04-03,2.2595596755504044,176.5,0.742749731471536,3879675.0,0.14044032444959775,0.48214370416358754,0.03723250014498637,False,1.0,1.0,1.0,31.673043790782913,744316.5290833984,5,1.0,1.0,0.6,4.09638554216869,2.076475066069161,1.0966686638446463,0.0,0.0,39.0902630676901,0.0,0.0,0.0,-5.192554073404176,0.9816465881173242,1.0041654367148807,7.5925540734041785,-1.696385542168688,-1.9360347416195633,0.4,0.8,0.6,oi_supported_surface_lag,31.05000000000001,9.34850188938094,9.949999999999989,4.950000000000017,9.75,5.495719414526367,5,False,,5.385252692626346,5.285252692626346,4.385252692626346,fold_1,research_oof
NSE_FO|54712|03-04-2025,2025-04-03,CE,23500.0,2025-03-28 04:57:00+00:00,2025-03-28,627,6,4,197.05,205.3,197.05,204.05,501825,3884475,204.55,3.029537995455689,9.507473658417057,1.7828403943511857,False,False,True,2025-03-28,2025-04-03,1.6940451745379725,198.1,0.9187316813216094,3877650.0,1.3354928209177164,0.8641087130295763,0.001760086650419713,False,1.0,1.0,1.0,39.765742161202745,934494.9407882645,5,1.0,1.0,1.0,4.457779682811824,2.2365253274111208,0.7751934025378023,0.0,0.0,3.682807784738543,0.0,0.0,1.0,-3.3640552995391704,-1.7336205169304675,1.3370382477933966,6.39359329499486,-1.4282416873561354,-0.9010325064934044,0.2,0.4,0.6,oi_supported_surface_lag,54.55000000000001,9.728967781757952,33.0,0.950000000000017,32.099999999999994,16.132974822781716,5,True,NSE_FO|54712|03-04-2025:7271,15.69298460034221,15.592984600342211,14.69298460034221,fold_1,research_oof
NSE_FO|54756|03-04-2025,2025-04-03,PE,23700.0,2025-04-01 04:53:00+00:00,2025-04-01,623,2,4,249.55,291.3,246.75,288.25,201750,1606200,291.39,25.571770856022646,21.63052905464008,3.1333721607454863,False,True,True,2025-04-01,2025-04-03,6.028667790893771,251.5,1.019219569015725,1606200.0,19.543103065128875,2.114152591729761,0.0,False,1.0,1.0,1.0,312.35379924172935,7402785.042028986,8,0.625,0.625,1.0,28.174540890196198,22.309164543104,26.304064344546266,0.0,-0.125,4.852903675953712,0.0,0.625,1.0,-33.3901192504259,-18.492858976453295,3.9533234859675037,58.96189010644854,-2.6027700341735525,-2.766061477975125,0.5,0.375,0.375,oi_supported_surface_lag,141.39,55.954546564933274,76.81,0.0,71.86000000000001,26.359861354198845,5,True,NSE_FO|54756|03-04-2025:7480,24.661107107313228,24.561107107313227,23.661107107313228,fold_1,research_oof
NSE_FO|43899|09-04-2025,2025-04-09,PE,23250.0,2025-04-03 07:20:00+00:00,2025-04-03,770,6,3,143.0,143.35,141.3,141.75,106350,1451550,141.69,0.5319148936170137,6.27865961199295,3.8743169398907105,False,False,True,2025-04-03,2025-04-09,2.1785714285714297,143.05,3.1944827586206896,1451550.0,-1.646656534954416,0.6798341812700208,0.0,False,1.0,0.0,1.0,6.156649055052614,143142.09052997327,5,1.0,0.0,0.8,1.4792899408283988,-1.646656534954416,1.1080743928062307,0.0,0.0,21.51948511365481,0.0,0.0,0.6,-0.4643962848297267,1.601591997624785,2.079295154185022,0.9963111784467404,-0.9473750472113851,0.0,0.2,1.0,0.6,oi_supported_surface_lag,8.310000000000002,3.1908544466364157,1.25,2.289999999999992,-0.539999999999992,0.8822076363893006,5,False,,-0.3811136989201722,-0.4811136989201722,-1.3811136989201722,fold_1,research_oof
NSE_FO|43887|09-04-2025,2025-04-09,CE,23050.0,2025-04-03 08:18:00+00:00,2025-04-03,828,6,4,296.35,296.45,295.55,295.55,450,69000,295.45,-0.8055042792414757,2.3684655726611403,4.0,False,False,True,2025-04-03,2025-04-09,-0.7551602617888897,295.7,0.6666666666666666,69000.0,-0.05034401745258599,3.3333333333333335,0.0,False,0.0,0.0,1.0,0.0,0.0,5,0.8,0.8,0.4,1.1734028683181297,1.2945388696031124,0.9333132830420763,0.4,-0.19999999,-36.02535494768745,0.0,0.0,0.2,-1.9305536935245948,-1.7268877057445509,1.1736526946107784,1.125049414283119,-1.9789071475596054,-1.3448828870556984,0.2,0.2,0.2,oi_supported_surface_lag,145.45,10.636302506944366,0.6000000000000227,0.060000000000002274,0.6000000000000227,0.20308004738535207,5,False,,0.20308004738535207,0.10308004738535206,-0.796919952614648,fold_1,research_oof
NSE_FO|43899|09-04-2025,2025-04-09,PE,23250.0,2025-04-04 04:20:00+00:00,2025-04-04,590,5,4,273.6,292.05,270.85,292.05,113250,1379625,291.14,10.499432463110093,21.417565485362097,1.323980710214818,False,True,False,2025-04-04,2025-04-09,4.921785578023652,275.0,1.0089285714285714,1379625.0,5.577646885086441,0.3150521387862466,0.0,False,1.0,1.0,1.0,122.18569503778359,2840817.4096284686,5,1.0,1.0,1.0,11.642981800049856,6.209019535898896,0.5970739869008981,0.0,1.0,1.3247142476502631,0.0,1.0,0.2,-15.272727272727272,-4.0622733525071855,1.0569131832797427,25.772159735837363,-1.1435493369397634,-0.6313726508124553,0.2,0.2,0.2,oi_supported_surface_lag,141.14,20.229315696465807,26.310000000000002,7.5,11.75,9.036889468983995,5,True,NSE_FO|43899|09-04-2025:2053,4.03585903688947,3.9358590368894695,3.0358590368894696,fold_1,research_oof
NSE_FO|43887|09-04-2025,2025-04-09,CE,23050.0,2025-04-04 05:29:00+00:00,2025-04-04,659,5,3,107.95,112.45,105.65,112.35,478575,2982900,112.2,10.580708661417315,16.955941255006675,2.023145212428662,False,True,True,2025-04-04,2025-04-09,10.894141829393632,107.9,1.7054533925174382,2982900.0,-0.31343316797631715,0.31769181991122397,0.0,False,1.0,0.0,1.0,138.38054212558606,3189671.495994759,5,1.0,0.2,1.0,11.524163568773238,-0.31343316797631715,0.5806135753902129,0.0,-0.8,-2.6498187978431815,0.0,1.0,1.0,-9.452736318407961,-2.0283302708917645,1.7316227461858529,20.033444979825276,-0.9434549073559229,0.0,0.2,0.6,0.2,oi_supported_surface_lag,37.8,13.637485368045136,6.1499999999999915,3.9000000000000057,-0.10000000000000853,5.481283422459885,5,False,,-0.0891265597148026,-0.1891265597148026,-1.0891265597148025,fold_1,research_oof
NSE_FO|43887|09-04-2025,2025-04-09,CE,23050.0,2025-04-08 07:57:00+00:00,2025-04-08,807,1,1,41.3,41.6,37.54,41.3,246825,1688325,41.25,13.461538461538458,28.8135593220339,1.9195100612423448,False,True,True,2025-04-08,2025-04-09,23.37858220211162,40.9,2.9118432769367764,1688325.0,-9.917043740573162,-0.9923332156944316,0.0,False,1.0,0.0,1.0,167.14436999514285,3852677.7283880427,5,1.0,0.0,1.0,14.550561797752803,-8.76170444610569,0.6256334003002844,0.0,-1.0,4.9245902378206665,0.0,1.0,0.6,-0.8360427310729279,8.51435096971448,0.7272727272727273,14.297581192611386,-1.0890233362143444,-1.1553392944674723,0.2,0.4,0.2,oi_supported_surface_lag,108.75,8.382147386589802,7.850000000000001,0.0,2.75,19.030303030303035,5,False,,6.666666666666667,6.566666666666667,5.666666666666667,fold_1,research_oof
NSE_FO|48199|17-04-2025,2025-04-17,PE,22800.0,2025-04-11 07:57:00+00:00,2025-04-11,807,6,3,178.75,180.85,177.75,180.05,426675,5333625,180.1,0.530429927414855,7.2202166064981945,2.330124923202949,False,False,True,2025-04-11,2025-04-17,0.6802721088435382,177.6,1.3254147040753634,5333625.0,-0.14984218142868322,1.0047102191275854,0.0,True,1.0,0.0,1.0,6.876377002171458,156781.39564950924,8,1.0,0.875,1.0,1.9217712958984001,0.924613456048673,5.419160976633052,0.0,-0.125,-45.47577826650377,0.0,0.375,1.0,-1.6248256624825763,-1.2764542986086869,1.6341017197219172,2.1552555898974313,-1.3913413684835452,-1.0744556374773562,0.125,1.0,0.875,oi_supported_surface_lag,30.099999999999994,6.098459266273865,22.150000000000006,2.0999999999999943,10.700000000000017,12.298722931704612,5,False,,5.941143808995013,5.841143808995013,4.941143808995013,fold_1,research_oof
NSE_FO|48199|17-04-2025,2025-04-17,PE,22800.0,2025-04-11 08:23:00+00:00,2025-04-11,833,6,4,200.25,207.25,200.0,205.75,934125,4760100,206.35,6.248386263878136,13.924665856622118,3.0696241528034505,False,True,True,2025-04-11,2025-04-17,5.988341282458931,200.0,1.3350585335797904,4760100.0,0.2600449814192052,1.73456561922366,0.0,True,1.0,1.0,1.0,85.8988567013716,1958493.9327912724,8,1.0,1.0,1.0,7.596512687991486,1.3596353384415116,1.3491993452400488,0.375,0.375,956.2728557066766,0.0,1.0,0.625,-3.4101281536383143,0.4463740885141565,1.7877645694404176,9.65851441751645,-1.3481264241133495,-1.0995903570223065,0.125,1.0,0.75,oi_supported_surface_lag,56.349999999999994,15.513149739004746,3.950000000000017,7.349999999999994,-1.1999999999999886,1.9142234068330588,5,False,,-0.5815362248606681,-0.6815362248606681,-1.5815362248606681,fold_1,research_oof
NSE_FO|79516|24-04-2025,2025-04-24,PE,23850.0,2025-04-21 04:53:00+00:00,2025-04-21,623,3,2,94.0,94.0,87.5,89.65,202950,1849575,89.0,-0.6097560975609762,18.73954266592303,1.3632241813602015,False,False,False,2025-04-21,2025-04-24,5.649717514124286,93.5,1.9898141074611664,1849575.0,-6.259473611685262,-0.6265899261009649,0.0,False,0.0,0.0,1.0,0.0,0.0,8,0.75,0.25,0.375,0.9020709819712369,-5.3042694320829415,5.689556625812793,-0.25,-0.25,1703.4800763481035,0.0,0.375,0.0,-2.0712762717027156,1.612138915301442,0.7629482071713147,1.4615201741417394,-1.511827079532213,-0.9552041796023207,0.125,0.5,0.375,oi_supported_surface_lag,61.0,-3.452845740133285,6.5,8.409999999999997,-8.409999999999997,7.303370786516854,5,False,,-9.449438202247187,-9.549438202247186,-10.449438202247187,fold_1,research_oof
NSE_FO|79516|24-04-2025,2025-04-24,PE,23850.0,2025-04-21 06:13:00+00:00,2025-04-21,703,3,2,57.2,58.3,55.5,56.25,131550,2145900,57.1,-0.0888099467140302,13.24444444444445,1.6776661884265902,False,False,True,2025-04-21,2025-04-24,-5.1409618573797555,57.2,1.1142993782879005,2145900.0,5.052151910665725,0.5633668101386897,0.0,False,0.0,1.0,1.0,0.0,0.0,8,0.625,0.625,0.875,0.8411530491070351,5.069441768522243,1.3257627267492433,0.375,0.375,-1855.4235170491302,0.0,0.0,0.25,-1.9904458598726138,-2.8806535750061424,1.1217391304347826,1.9016359131585836,-0.9299629958210653,-0.017289857856517266,0.125,0.5,0.25,oi_supported_surface_lag,92.9,11.14437240557417,0.0,5.899999999999999,-3.6499999999999986,0.0,5,False,,-6.392294220665497,-6.492294220665497,-7.392294220665497,fold_1,research_oof
NSE_FO|79518|24-04-2025,2025-04-24,PE,23900.0,2025-04-22 04:22:00+00:00,2025-04-22,592,2,1,29.75,32.95,29.4,32.5,317025,5799450,32.29,7.615894039735105,20.923076923076923,1.2492980641347717,False,True,False,2025-04-22,2025-04-24,-4.2414355628058615,29.35,0.4743608689227132,5799450.0,11.857329602540966,0.7749371952120585,0.0,True,1.0,1.0,1.0,96.46854257408629,2305598.1675206623,8,1.0,0.875,1.0,8.545302365731889,10.771540983251448,2.4465752901578752,0.625,0.125,-2271.020682823644,0.0,0.875,0.375,-5.572390572390573,-3.7163111679240686,2.077837837837838,13.188284612125678,-0.9294083259967838,1.0857886192895183,0.375,0.75,0.875,oi_supported_surface_lag,117.71000000000001,26.3356048700459,6.310000000000002,2.6899999999999977,-1.0899999999999999,19.54165376277486,5,False,,-3.375658098482502,-3.4756580984825023,-4.375658098482502,fold_1,research_oof
NSE_FO|79537|24-04-2025,2025-04-24,CE,24050.0,2025-04-22 06:25:00+00:00,2025-04-22,715,2,3,199.45,204.0,199.45,199.95,59025,1325475,199.0,0.2758274824473439,6.3765941485371345,1.2796747967479676,False,False,False,2025-04-22,2025-04-24,0.5030181086519203,199.8,0.44065040650406506,1325475.0,-0.22719062620457642,0.8390243902439025,0.0,False,1.0,0.0,1.0,3.030167160020666,72875.52019849702,5,1.0,0.8,0.8,1.2859439185568977,1.034518584798616,0.5787828126998856,0.19999999,0.0,-75.49684640994019,0.0,0.0,0.6,-1.1695906432748537,1.4862985022216835,1.1981566820276497,1.4454181257221976,-1.0101164361095538,-1.2617092110031924,0.2,0.8,0.6,oi_supported_surface_lag,49.0,6.075474460526396,7.150000000000006,4.650000000000006,3.25,3.592964824120606,5,False,,1.6331658291457287,1.5331658291457286,0.6331658291457287,fold_1,research_oof
NSE_FO|79546|24-04-2025,2025-04-24,PE,24050.0,2025-04-23 05:20:00+00:00,2025-04-23,650,1,1,44.15,46.05,40.95,41.4,755550,3488475,41.75,15.481171548117146,34.54106280193236,1.8391602008215426,False,True,True,2025-04-23,2025-04-24,15.84415584415584,44.6,2.3852122318575995,3488475.0,-0.3629842960386931,-0.5460520310360568,0.0,False,1.0,0.0,1.0,209.54079282220343,5039456.067373993,8,0.875,0.75,0.875,17.206605191534297,2.5485197657330154,7.003193318003019,0.125,0.25,258.3062203866393,0.0,0.875,0.875,-8.488372093023255,0.9783744618000032,2.3170536429143316,23.9695436411404,-1.7254336434171513,-2.9115040617717085,0.5,0.75,0.625,oi_supported_surface_lag,108.25,24.262855522803815,12.450000000000003,0.04999999999999716,11.649999999999999,29.82035928143713,5,False,,27.904191616766465,27.804191616766463,26.904191616766465,fold_1,research_oof
NSE_FO|79519|24-04-2025,2025-04-24,CE,23950.0,2025-04-23 06:51:00+00:00,2025-04-23,741,1,4,287.95,290.8,283.39,286.64,17325,555225,290.95,0.6460674157303226,6.54130616801563,3.2535211267605635,False,False,True,2025-04-23,2025-04-24,-1.3117576174901058,286.64,0.8759124087591241,555225.0,1.9578250332204283,2.377608718001439,0.0,False,1.0,1.0,1.0,6.305594423492892,151018.98644265474,5,1.0,0.8,0.2,1.64181352613344,1.9578250332204283,1.110983013816656,0.8,-0.19999999,86.69270214941207,0.2,0.0,0.2,-7.246376811594201,-7.246376811594201,0.7527956221746371,7.892444227324524,-0.9957461104031173,0.0,0.2,0.8,0.4,oi_supported_surface_lag,140.95,13.120018383706258,7.350000000000023,4.5,-3.1499999999999773,2.5262072521051806,5,False,,-1.0826602509022092,-1.1826602509022093,-2.082660250902209,fold_1,research_oof
