hypothesis_id,family,event_type,direction,instrument,sample,screen_rejection_reason,gross_pnl,net_pnl,net_2x_cost,expectancy,win_rate,profit_factor,target30_rate,stop20_rate,top5_contribution,top10_contribution,max_month_share,max_weekday_share,months,weekdays
SESPRINT_684b19030c4ed7,liquidity_sweep_reversal,session_low_sweep_reclaim,UP,NIFTY,45,development_weak_premium_move_proxy,693.3999999999978,625.8999999999978,558.3999999999978,13.908888888888841,0.4888888888888889,1.5637976849975164,0.4444444444444444,0.7111111111111111,2.160329126058486,2.587953347180074,0.4222222222222222,0.37777777777777777,"['2024-05', '2024-06', '2024-07']","['Friday', 'Monday', 'Thursday', 'Tuesday', 'Wednesday']"
SESPRINT_d2b7867d149f64,failed_breakout_reversal,session_low_sweep_reclaim,UP,NIFTY,57,development_weak_premium_move_proxy,876.4000000000087,790.9000000000087,705.4000000000087,13.875438596491382,0.5964912280701754,3.02820874471086,0.43859649122807015,0.5263157894736842,0.7162093817170289,1.0393855101782747,0.5614035087719298,0.47368421052631576,"['2024-05', '2024-06', '2024-07']","['Friday', 'Monday', 'Thursday', 'Tuesday', 'Wednesday']"
SESPRINT_716e7c1bc6b015,liquidity_sweep_reversal,session_low_sweep_reclaim,UP,NIFTY,76,development_weak_premium_move_proxy,1066.5000000000036,952.5000000000036,838.5000000000036,12.532894736842152,0.47368421052631576,2.0491243529022958,0.4473684210526316,0.6052631578947368,1.069291338582673,1.4694488188976376,0.4605263157894737,0.34210526315789475,"['2024-05', '2024-06', '2024-07']","['Friday', 'Monday', 'Thursday', 'Tuesday', 'Wednesday']"
SESPRINT_e81eb752eb4973,trend_continuation,opening_range_low_break,DOWN,NIFTY,74,development_weak_premium_move_proxy,1029.750000000011,918.7500000000109,807.7500000000109,12.415540540540688,0.5,1.8241758241758366,0.4189189189189189,0.7162162162162162,0.8889795918367241,1.4716190476190294,0.44594594594594594,0.4189189189189189,"['2024-05', '2024-06', '2024-07']","['Friday', 'Monday', 'Thursday', 'Tuesday', 'Wednesday']"
SESPRINT_5e1351d0c34d59,gap_continuation,opening_range_low_break,DOWN,NIFTY,74,development_weak_premium_move_proxy,1029.750000000011,918.7500000000109,807.7500000000109,12.415540540540688,0.5,1.8241758241758366,0.4189189189189189,0.7162162162162162,0.8889795918367241,1.4716190476190294,0.44594594594594594,0.4189189189189189,"['2024-05', '2024-06', '2024-07']","['Friday', 'Monday', 'Thursday', 'Tuesday', 'Wednesday']"
SESPRINT_fe5dc5b8a6dcff,failed_breakout_reversal,session_low_sweep_reclaim,UP,NIFTY,64,development_weak_premium_move_proxy,890.4000000000015,794.4000000000015,698.4000000000015,12.412500000000023,0.53125,1.6458799138176319,0.421875,0.640625,1.7024798590130894,2.11914652567976,0.4375,0.421875,"['2024-05', '2024-06', '2024-07']","['Friday', 'Monday', 'Thursday', 'Tuesday', 'Wednesday']"
SESPRINT_407dd38b6b06e5,liquidity_sweep_reversal,session_low_sweep_reclaim,UP,NIFTY,64,development_weak_premium_move_proxy,890.4000000000015,794.4000000000015,698.4000000000015,12.412500000000023,0.53125,1.6458799138176319,0.421875,0.640625,1.7024798590130894,2.11914652567976,0.4375,0.421875,"['2024-05', '2024-06', '2024-07']","['Friday', 'Monday', 'Thursday', 'Tuesday', 'Wednesday']"
SESPRINT_0dd0835ee2018b,vwap_reclaim,vwap_rejection,DOWN,NIFTY,109,development_weak_premium_move_proxy,1492.400000000005,1328.900000000005,1165.400000000005,12.191743119266102,0.4036697247706422,1.692911333003103,0.4036697247706422,0.6330275229357798,1.102716532470464,1.518549176010231,0.6055045871559633,0.23853211009174313,"['2024-05', '2024-06', '2024-07']","['Friday', 'Monday', 'Thursday', 'Tuesday', 'Wednesday']"
SESPRINT_a9f94d0de6df98,vwap_reclaim,vwap_rejection,DOWN,NIFTY,112,development_weak_premium_move_proxy,1495.3000000000102,1327.3000000000102,1159.3000000000102,11.850892857142949,0.4375,1.9355088807442915,0.29464285714285715,0.5714285714285714,1.100768477360048,1.4016424320048149,0.5,0.26785714285714285,"['2024-05', '2024-06', '2024-07']","['Friday', 'Monday', 'Thursday', 'Tuesday', 'Wednesday']"
SESPRINT_2d9e6756f38b7a,trend_continuation,opening_range_high_break,UP,NIFTY,103,development_weak_premium_move_proxy,1364.4000000000015,1209.9000000000015,1055.4000000000015,11.746601941747587,0.5145631067961165,1.7024296786554072,0.4368932038834951,0.47572815533980584,0.8689561120753789,1.4311100090916617,0.6699029126213593,0.3592233009708738,"['2024-05', '2024-06', '2024-07']","['Friday', 'Monday', 'Thursday', 'Tuesday', 'Wednesday']"
