logical_path,absolute_path,suffix,size_bytes,sha256,row_count,columns,date_min,date_max,classification,authority_role,point_in_time_status,has_option_identity,has_expiry,has_strike,has_lot_size,has_bid_ask,has_quote_time,usable_for_option_e2e,blocker
runtime/market_data/upstox/20260717/ticks_1784265314.parquet,/Users/madhuram/tradebot-all-strategy-option-e2e-recertification-v4/runtime/market_data/upstox/20260717/ticks_1784265314.parquet,.parquet,218499,d882cc088f472e8ab19ab852e3f164511c20115ee6956959551d263c41c2af6c,6034,"['ts', 'instrument_key', 'ltp', 'bid_price', 'ask_price', 'delta', 'theta', 'gamma', 'vega', 'iv', 'volume', 'oi']",1970-01-01T00:00:01.784265302,1970-01-01T00:00:01.784265314,option_quote,none,NOT_AUTHORITY,True,False,False,False,True,True,True,
runtime/market_data/upstox/20260717/ticks_1784265326.parquet,/Users/madhuram/tradebot-all-strategy-option-e2e-recertification-v4/runtime/market_data/upstox/20260717/ticks_1784265326.parquet,.parquet,216041,2771654850c148cbc43e384ea3d53d48a7ec0de2dbf733c89c32600012758cdc,6137,"['ts', 'instrument_key', 'ltp', 'bid_price', 'ask_price', 'delta', 'theta', 'gamma', 'vega', 'iv', 'volume', 'oi']",1970-01-01T00:00:01.784265314,1970-01-01T00:00:01.784265326,option_quote,none,NOT_AUTHORITY,True,False,False,False,True,True,True,
runtime/market_data/upstox/20260717/ticks_1784265338.parquet,/Users/madhuram/tradebot-all-strategy-option-e2e-recertification-v4/runtime/market_data/upstox/20260717/ticks_1784265338.parquet,.parquet,224151,b1bccca099eaddf4be530bf9738c61e63444b1ac642a1fa8340271ab4918b5b5,6299,"['ts', 'instrument_key', 'ltp', 'bid_price', 'ask_price', 'delta', 'theta', 'gamma', 'vega', 'iv', 'volume', 'oi']",1970-01-01T00:00:01.784265326,1970-01-01T00:00:01.784265338,option_quote,none,NOT_AUTHORITY,True,False,False,False,True,True,True,
runtime/market_data/upstox/20260717/ticks_1784265351.parquet,/Users/madhuram/tradebot-all-strategy-option-e2e-recertification-v4/runtime/market_data/upstox/20260717/ticks_1784265351.parquet,.parquet,217075,9d9ec19abbfa47911fb24e22fc9f82c97ebdaa752427c89b2113e240c010d56b,6139,"['ts', 'instrument_key', 'ltp', 'bid_price', 'ask_price', 'delta', 'theta', 'gamma', 'vega', 'iv', 'volume', 'oi']",1970-01-01T00:00:01.784265338,1970-01-01T00:00:01.784265350,option_quote,none,NOT_AUTHORITY,True,False,False,False,True,True,True,
runtime/market_data/upstox/20260717/ticks_1784265363.parquet,/Users/madhuram/tradebot-all-strategy-option-e2e-recertification-v4/runtime/market_data/upstox/20260717/ticks_1784265363.parquet,.parquet,212392,d376d502f6c59564c90b7c4d2cd15c1f8a572513f141941274a28deb5ce8013d,5963,"['ts', 'instrument_key', 'ltp', 'bid_price', 'ask_price', 'delta', 'theta', 'gamma', 'vega', 'iv', 'volume', 'oi']",1970-01-01T00:00:01.784265351,1970-01-01T00:00:01.784265362,option_quote,none,NOT_AUTHORITY,True,False,False,False,True,True,True,
runtime/market_data/upstox/20260717/ticks_1784265375.parquet,/Users/madhuram/tradebot-all-strategy-option-e2e-recertification-v4/runtime/market_data/upstox/20260717/ticks_1784265375.parquet,.parquet,250868,7b305a7ada02ce7e3367bf38961dd8ec863bb4fb5dfc3819505d3b5be96b46ea,7009,"['ts', 'instrument_key', 'ltp', 'bid_price', 'ask_price', 'delta', 'theta', 'gamma', 'vega', 'iv', 'volume', 'oi']",1970-01-01T00:00:01.784265363,1970-01-01T00:00:01.784265375,option_quote,none,NOT_AUTHORITY,True,False,False,False,True,True,True,
runtime/market_data/upstox/20260717/ticks_1784265387.parquet,/Users/madhuram/tradebot-all-strategy-option-e2e-recertification-v4/runtime/market_data/upstox/20260717/ticks_1784265387.parquet,.parquet,210188,1ba1f639ecc56f6c4d3ed36cf75dd98431f9bca673e9788232f05c7b0e9b8f14,5970,"['ts', 'instrument_key', 'ltp', 'bid_price', 'ask_price', 'delta', 'theta', 'gamma', 'vega', 'iv', 'volume', 'oi']",1970-01-01T00:00:01.784265375,1970-01-01T00:00:01.784265387,option_quote,none,NOT_AUTHORITY,True,False,False,False,True,True,True,
runtime/market_data/upstox/20260717/ticks_1784265399.parquet,/Users/madhuram/tradebot-all-strategy-option-e2e-recertification-v4/runtime/market_data/upstox/20260717/ticks_1784265399.parquet,.parquet,229070,454ab1349f0b87966f2b1c98fb857070e41dd2537e6f5549493c3b98d7ab3977,6537,"['ts', 'instrument_key', 'ltp', 'bid_price', 'ask_price', 'delta', 'theta', 'gamma', 'vega', 'iv', 'volume', 'oi']",1970-01-01T00:00:01.784265387,1970-01-01T00:00:01.784265399,option_quote,none,NOT_AUTHORITY,True,False,False,False,True,True,True,
runtime/market_data/upstox/20260717/ticks_1784265411.parquet,/Users/madhuram/tradebot-all-strategy-option-e2e-recertification-v4/runtime/market_data/upstox/20260717/ticks_1784265411.parquet,.parquet,215867,e6a5f6bbb7ab2033db22da3392d7f97d6e250ef37664746795b4632461bdce78,6096,"['ts', 'instrument_key', 'ltp', 'bid_price', 'ask_price', 'delta', 'theta', 'gamma', 'vega', 'iv', 'volume', 'oi']",1970-01-01T00:00:01.784265399,1970-01-01T00:00:01.784265411,option_quote,none,NOT_AUTHORITY,True,False,False,False,True,True,True,
runtime/market_data/upstox/20260717/ticks_1784265423.parquet,/Users/madhuram/tradebot-all-strategy-option-e2e-recertification-v4/runtime/market_data/upstox/20260717/ticks_1784265423.parquet,.parquet,206516,6992fba62800f6cd6124f8b5af622d741394a941a5e6038cc259b49e44135f7a,5973,"['ts', 'instrument_key', 'ltp', 'bid_price', 'ask_price', 'delta', 'theta', 'gamma', 'vega', 'iv', 'volume', 'oi']",1970-01-01T00:00:01.784265411,1970-01-01T00:00:01.784265423,option_quote,none,NOT_AUTHORITY,True,False,False,False,True,True,True,
runtime/market_data/upstox/20260717/ticks_1784265436.parquet,/Users/madhuram/tradebot-all-strategy-option-e2e-recertification-v4/runtime/market_data/upstox/20260717/ticks_1784265436.parquet,.parquet,214839,8a9bbc566043a26dc5063edde935293984567fbae1a108a84351553d9c2cb133,6267,"['ts', 'instrument_key', 'ltp', 'bid_price', 'ask_price', 'delta', 'theta', 'gamma', 'vega', 'iv', 'volume', 'oi']",1970-01-01T00:00:01.784265423,1970-01-01T00:00:01.784265435,option_quote,none,NOT_AUTHORITY,True,False,False,False,True,True,True,
runtime/market_data/upstox/20260717/ticks_1784265448.parquet,/Users/madhuram/tradebot-all-strategy-option-e2e-recertification-v4/runtime/market_data/upstox/20260717/ticks_1784265448.parquet,.parquet,217751,2dc64246066b370e609db4019a46ecabe1bcfe95ab7048c43d2e65bbd3f2dbbc,6342,"['ts', 'instrument_key', 'ltp', 'bid_price', 'ask_price', 'delta', 'theta', 'gamma', 'vega', 'iv', 'volume', 'oi']",1970-01-01T00:00:01.784265436,1970-01-01T00:00:01.784265447,option_quote,none,NOT_AUTHORITY,True,False,False,False,True,True,True,
runtime/market_data/upstox/20260717/ticks_1784265460.parquet,/Users/madhuram/tradebot-all-strategy-option-e2e-recertification-v4/runtime/market_data/upstox/20260717/ticks_1784265460.parquet,.parquet,207261,317b5372a8c870ed7a739a1e952a18f012626f895bacc8a833b6ed9a0dd48211,5996,"['ts', 'instrument_key', 'ltp', 'bid_price', 'ask_price', 'delta', 'theta', 'gamma', 'vega', 'iv', 'volume', 'oi']",1970-01-01T00:00:01.784265448,1970-01-01T00:00:01.784265460,option_quote,none,NOT_AUTHORITY,True,False,False,False,True,True,True,
runtime/market_data/upstox/20260717/ticks_1784265472.parquet,/Users/madhuram/tradebot-all-strategy-option-e2e-recertification-v4/runtime/market_data/upstox/20260717/ticks_1784265472.parquet,.parquet,198313,18ab8710155488a195aa22a892c9d6955c1c6002f7afe884d9dddb74703744ef,5724,"['ts', 'instrument_key', 'ltp', 'bid_price', 'ask_price', 'delta', 'theta', 'gamma', 'vega', 'iv', 'volume', 'oi']",1970-01-01T00:00:01.784265460,1970-01-01T00:00:01.784265472,option_quote,none,NOT_AUTHORITY,True,False,False,False,True,True,True,
runtime/market_data/upstox/20260717/ticks_1784265484.parquet,/Users/madhuram/tradebot-all-strategy-option-e2e-recertification-v4/runtime/market_data/upstox/20260717/ticks_1784265484.parquet,.parquet,227287,da5dcf6aaca4c37a7d2b20fc566843bd8a6982726c2953863dfeaca1215edabf,6531,"['ts', 'instrument_key', 'ltp', 'bid_price', 'ask_price', 'delta', 'theta', 'gamma', 'vega', 'iv', 'volume', 'oi']",1970-01-01T00:00:01.784265472,1970-01-01T00:00:01.784265484,option_quote,none,NOT_AUTHORITY,True,False,False,False,True,True,True,
runtime/market_data/upstox/20260717/ticks_1784265497.parquet,/Users/madhuram/tradebot-all-strategy-option-e2e-recertification-v4/runtime/market_data/upstox/20260717/ticks_1784265497.parquet,.parquet,207350,f89b01bad9a6ba81e524a1b89190206b51abbc0b1519529b8c3f8835589aacce,6010,"['ts', 'instrument_key', 'ltp', 'bid_price', 'ask_price', 'delta', 'theta', 'gamma', 'vega', 'iv', 'volume', 'oi']",1970-01-01T00:00:01.784265484,1970-01-01T00:00:01.784265496,option_quote,none,NOT_AUTHORITY,True,False,False,False,True,True,True,
runtime/market_data/upstox/20260717/ticks_1784265509.parquet,/Users/madhuram/tradebot-all-strategy-option-e2e-recertification-v4/runtime/market_data/upstox/20260717/ticks_1784265509.parquet,.parquet,196467,2bd736718a734f6ffa2cabcb317b4b91ee75cf1d99e9f653c7061e39d2a74847,5596,"['ts', 'instrument_key', 'ltp', 'bid_price', 'ask_price', 'delta', 'theta', 'gamma', 'vega', 'iv', 'volume', 'oi']",1970-01-01T00:00:01.784265497,1970-01-01T00:00:01.784265509,option_quote,none,NOT_AUTHORITY,True,False,False,False,True,True,True,
runtime/market_data/upstox/20260717/ticks_1784265521.parquet,/Users/madhuram/tradebot-all-strategy-option-e2e-recertification-v4/runtime/market_data/upstox/20260717/ticks_1784265521.parquet,.parquet,202264,99247974c732d00383064bc55facd0c3cf0842427ecb7f0bdcd824af5a59fb7b,5914,"['ts', 'instrument_key', 'ltp', 'bid_price', 'ask_price', 'delta', 'theta', 'gamma', 'vega', 'iv', 'volume', 'oi']",1970-01-01T00:00:01.784265509,1970-01-01T00:00:01.784265521,option_quote,none,NOT_AUTHORITY,True,False,False,False,True,True,True,
runtime/market_data/upstox/20260717/ticks_1784265533.parquet,/Users/madhuram/tradebot-all-strategy-option-e2e-recertification-v4/runtime/market_data/upstox/20260717/ticks_1784265533.parquet,.parquet,197153,704760141e17e1514afc30a6917fcb27fd89ab2d2013955e20e804c86876833e,5653,"['ts', 'instrument_key', 'ltp', 'bid_price', 'ask_price', 'delta', 'theta', 'gamma', 'vega', 'iv', 'volume', 'oi']",1970-01-01T00:00:01.784265521,1970-01-01T00:00:01.784265533,option_quote,none,NOT_AUTHORITY,True,False,False,False,True,True,True,
runtime/market_data/upstox/20260717/ticks_1784265545.parquet,/Users/madhuram/tradebot-all-strategy-option-e2e-recertification-v4/runtime/market_data/upstox/20260717/ticks_1784265545.parquet,.parquet,216758,e34536824c6889c5b351728a19ae76d7378dbb6b5706c3ae396946973ca2080f,6181,"['ts', 'instrument_key', 'ltp', 'bid_price', 'ask_price', 'delta', 'theta', 'gamma', 'vega', 'iv', 'volume', 'oi']",1970-01-01T00:00:01.784265533,1970-01-01T00:00:01.784265545,option_quote,none,NOT_AUTHORITY,True,False,False,False,True,True,True,
runtime/market_data/upstox/20260717/ticks_1784265557.parquet,/Users/madhuram/tradebot-all-strategy-option-e2e-recertification-v4/runtime/market_data/upstox/20260717/ticks_1784265557.parquet,.parquet,200692,25a8db627e9046064f2214c88ff0629eb9fd7d34350fd54be5f3db1587afbd88,5755,"['ts', 'instrument_key', 'ltp', 'bid_price', 'ask_price', 'delta', 'theta', 'gamma', 'vega', 'iv', 'volume', 'oi']",1970-01-01T00:00:01.784265545,1970-01-01T00:00:01.784265557,option_quote,none,NOT_AUTHORITY,True,False,False,False,True,True,True,
runtime/market_data/upstox/20260717/ticks_1784265570.parquet,/Users/madhuram/tradebot-all-strategy-option-e2e-recertification-v4/runtime/market_data/upstox/20260717/ticks_1784265570.parquet,.parquet,194548,fa6dfcdd7f4c3f6dae5c01070377bbaf070d3b95df762efd3eba60228bbdac15,5480,"['ts', 'instrument_key', 'ltp', 'bid_price', 'ask_price', 'delta', 'theta', 'gamma', 'vega', 'iv', 'volume', 'oi']",1970-01-01T00:00:01.784265557,1970-01-01T00:00:01.784265569,option_quote,none,NOT_AUTHORITY,True,False,False,False,True,True,True,
runtime/market_data/upstox/20260717/ticks_1784265582.parquet,/Users/madhuram/tradebot-all-strategy-option-e2e-recertification-v4/runtime/market_data/upstox/20260717/ticks_1784265582.parquet,.parquet,210029,9791d917a85df553207c33b31c35b3ae26c8b673a8cc5882181db17aa0af206f,5972,"['ts', 'instrument_key', 'ltp', 'bid_price', 'ask_price', 'delta', 'theta', 'gamma', 'vega', 'iv', 'volume', 'oi']",1970-01-01T00:00:01.784265570,1970-01-01T00:00:01.784265582,option_quote,none,NOT_AUTHORITY,True,False,False,False,True,True,True,
runtime/market_data/upstox/20260717/ticks_1784265594.parquet,/Users/madhuram/tradebot-all-strategy-option-e2e-recertification-v4/runtime/market_data/upstox/20260717/ticks_1784265594.parquet,.parquet,203468,7331d668e9c0e7fc5624d56397b42e94f6243babb41a959e0ac1470475450a7c,5683,"['ts', 'instrument_key', 'ltp', 'bid_price', 'ask_price', 'delta', 'theta', 'gamma', 'vega', 'iv', 'volume', 'oi']",1970-01-01T00:00:01.784265582,1970-01-01T00:00:01.784265594,option_quote,none,NOT_AUTHORITY,True,False,False,False,True,True,True,
runtime/market_data/upstox/20260717/ticks_1784265606.parquet,/Users/madhuram/tradebot-all-strategy-option-e2e-recertification-v4/runtime/market_data/upstox/20260717/ticks_1784265606.parquet,.parquet,197283,784626fbba975463e687d0079a11f3f846fcd2e8312875d7bfadd805becdf601,5775,"['ts', 'instrument_key', 'ltp', 'bid_price', 'ask_price', 'delta', 'theta', 'gamma', 'vega', 'iv', 'volume', 'oi']",1970-01-01T00:00:01.784265594,1970-01-01T00:00:01.784265606,option_quote,none,NOT_AUTHORITY,True,False,False,False,True,True,True,
